Location,Site Description,Latitude,Longitude,MAT,MAP,ANPP,Biomass Increment,Litterfall,Foliar N,Foliar P,k,Soil Respiration,Soil N,Inorganic N,Soil P,Elevation,Soil Type,References
Columbia,Porce,6.8,-75.1,22.7,2078,22.6,,7.2,20.5,0.9,1.79,15,,,,900,Inceptisol,Sierra et al. (2007a); Sierra et al. (2007b)
Columbia,La Planada,1.2,-78.2,19,4415,12.4,4.8,11,,,,,0.23,,,1731,,"Cavelier & Estevez (1996); John et al. (2007), Losos & Leigh (2004)"
Costa Rica,Osa,8.7,-83.6,26,5000,21.7,,12,26,1.2,1.9,11.4,0.5,6,557,100,Ultisol,Cleveland and Townsend (2006); Cleveland et al. (2006); Sterrenberg (1990);  Wieder et al. (2009)
Costa Rica,La Selva- Aluvial,10.4,-84,26,4000,15.7,,8.9,,,3.2,12.1,0.46,1,836,50,Oxisol,Bigelow (1993); DeWalt & Chave (2004); Clark and Clark (2000); Espeleta et al. (2007); Loescher et al. (2003); McDade et al. (1994); Schwendenmann et al. (2006); Vandecar et al. (2009)
Costa Rica,La Selva- Residual,10.4,-84,26,4000,15.3,,8.7,25,1.09,,13.8,0.52,4,579,50,Oxisol,Bigelow (1993); DeWalt & Chave (2004); Clark and Clark (2000); Espeleta et al. (2007); Loescher et al. (2003); McDade et al. (1994); Schwendenmann et al. (2006); Vandecar et al. (2009)
Ecuador,RAINFOR - Jatun Sacha 4,-1.1,-77.7,23.4,4013,18.7,8.7,,18.9,0.83,,,0.22,,163,82,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Ecuador,RAINFOR - Bogi 2,-0.7,-76.5,26,3252,17.4,7.9,,23,1.44,,,0.18,,413,271,,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Ecuador,RAINFOR - Jatun Sacha 2,-1.1,-77.6,23.4,4013,16.3,7.2,,23.3,1.03,,,0.22,,167,82,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Ecuador,RAINFOR - Jatun Sacha 3,-1.1,-77.7,23.4,4013,18.3,8.4,,24.5,1.24,,,0.21,,151,82,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Ecuador,RAINFOR - Bogi 1,-0.7,-76.5,26,3252,21.6,10.5,,25.3,1.61,,,0.2,,416,271,,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Ecuador,RAINFOR - Jatun Sacha 5,-1.1,-77.7,23.4,4013,18.3,8.5,,27,2.1,,,0.32,,668,82,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Ecuador,RAINFOR - Tiputini 3,-0.6,-76.2,25.8,3252,13.2,5.3,,28.4,2.04,,,0.24,,336,248,,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Equador,Yasuni,0.4,-76.2,28.4,3214,15.6,6.8,,,,,,1.08,,,230,Ultisol,Chave et al. (2008); Losos & Leigh (2004); John et al. (2007)
India,Bannadpare,12.1,75.4,27,5310,10.5,6.4,4.1,,,,,,,,200,Oxisol,Rai & Proctor (1986a); Rai & Proctor (1986b)
India,Kagneri,12.5,75.4,28.6,6100,13.2,9.2,4,,,,,,,,500,Oxisol,Rai & Proctor (1986a); Rai & Proctor (1986b)
India,South Bhadra,13.2,75.2,21,6520,12.9,9.5,3.4,,,,,,,,800,Oxisol,Rai & Proctor (1986a); Rai & Proctor (1986b)
India,MD,13.6,75.8,22,3900,25.4,,13.9,,,,,,,,750,Oxisol,Swamy & Proctor (1994a); Swamy & Proctor (1994b)
